#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-176.0,698,27.662125
-190.0,541,31.040163
-187.0,700,33.323387
-229.0,530,36.133795
-181.0,676,38.298314
-225.0,541,39.914968
-226.0,541,42.729588
-218.0,665,44.809598
-179.0,698,47.030944
-186.0,677,50.34359
-264.0,530,51.917799
-182.0,676,54.043286
-195.0,678,56.181956
-171.0,729,59.712257
-186.0,700,61.940705
-108.0,2105,73.601337
-180.0,687,76.954716
-193.0,541,78.559515
-223.0,541,80.167113
-171.0,687,82.328673
-184.0,742,85.90823
-231.0,530,87.475666
-215.0,699,89.737148
-193.0,678,93.063472
-182.0,676,95.183984
-235.0,543,96.803102
-192.0,541,99.610525
-186.0,688,101.783245
-160.0,1047,105.568177
-225.0,541,108.359244
-185.0,688,110.548125
-219.0,677,112.905701
-198.0,542,115.801226
-188.0,690,117.974807
-165.0,1420,125.005413
-123.0,1413,130.815414
-199.0,542,133.612778
-181.0,698,135.81806
-180.0,676,137.93651
-178.0,687,141.308871
-183.0,676,143.455897
-226.0,541,145.068182
-226.0,541,146.674691
-228.0,530,149.432496
-146.0,1202,154.029692
-198.0,542,156.826065
-183.0,699,159.044413
-197.0,542,160.655838
-180.0,676,162.775501
-184.0,676,166.096553
-180.0,676,168.213069
-191.0,541,169.819619
-125.0,1412,177.273957
-178.0,698,179.488668
-230.0,530,182.255887
-201.0,543,183.870857
-182.0,687,186.040606
-183.0,688,189.40262
-173.0,740,191.788356
-194.0,542,193.404418
-234.0,531,196.159775
-167.0,844,198.988087
-177.0,687,201.16537
-117.0,1412,208.163498
-182.0,676,210.289701
-233.0,531,213.055455
-174.0,845,215.894111
-189.0,677,218.027586
-180.0,698,221.450632
-177.0,698,223.666417
-187.0,677,225.802525
-153.0,1045,231.031141
-190.0,689,233.333085
-158.0,844,237.380951
-172.0,698,239.595875
-198.0,542,241.217898
-216.0,676,262.983685
-193.0,541,266.284936
-184.0,730,268.650032
-184.0,699,270.894772
-98.0,1614,279.16383
-179.0,687,282.54822
-190.0,677,284.68864
-188.0,689,286.870639
-178.0,687,290.239528
-229.0,530,291.993593
-192.0,541,293.731103
-192.0,541,295.374382
-124.0,1412,302.372855
-178.0,740,304.77394
-182.0,687,308.133523
-225.0,541,309.745431
-184.0,676,311.871992
-229.0,530,314.637909
-165.0,855,317.540802
-180.0,676,319.676281
-184.0,699,323.125085
-82.0,2115,334.905562
-175.0,698,337.125797
-189.0,700,339.366839
-191.0,733,342.915831
-184.0,676,345.050775
-193.0,541,346.665759
-192.0,689,350.046811
-186.0,687,352.229132
-183.0,687,354.419092
-143.0,1415,361.439391
-182.0,698,363.66519
-218.0,676,367.002099
-190.0,701,369.23312
-185.0,676,371.375886
-176.0,687,374.752499
-181.0,687,376.92808
-187.0,688,379.119164
-165.0,856,383.226079
-172.0,856,386.133962
-174.0,741,389.736192
-183.0,676,391.872676
-158.0,1412,398.873106
-182.0,731,401.243202
-179.0,687,403.423613
-206.0,692,406.823319
-176.0,698,409.047755
-186.0,743,411.451802
-167.0,856,415.555562
-169.0,943,418.873616
-194.0,542,421.695644
-181.0,676,423.838904
-186.0,699,426.083204
-191.0,731,429.649929
-186.0,688,431.847883
-192.0,541,433.47066
-182.0,687,435.648612
-192.0,541,438.466149
-177.0,687,440.65763
-197.0,1035,445.611767
-161.0,844,448.478086
-210.0,834,451.293242
-226.0,541,454.100121
-184.0,699,456.331289
-124.0,1414,463.33247
-181.0,687,465.517606
-67.0,2104,477.977001
-181.0,699,480.219521
-183.0,676,483.558825
-185.0,677,485.707649
-179.0,687,487.889284
-201.0,531,490.670809
-221.0,742,493.08632
-119.0,1413,500.091577
-163.0,1201,504.703413
-193.0,541,507.574624
-228.0,542,523.33095
-179.0,698,526.897181
-163.0,1412,534.291424
-225.0,541,535.915345
-186.0,688,538.098202
-202.0,531,540.867694
-179.0,687,543.036927
-184.0,676,545.171067
-179.0,730,548.713261
-170.0,845,551.553699
-234.0,531,553.136333
-184.0,676,556.466728
-103.0,2093,568.144629
-185.0,676,570.282045
-186.0,699,572.5071
-185.0,687,575.881711
-57.0,2104,587.584792
-228.0,530,589.16178
-184.0,676,591.294722
-144.0,1045,596.287686
-186.0,677,598.429453
-234.0,531,600.006998
-174.0,698,603.431922
-136.0,1201,608.037575
-180.0,687,611.41526
-180.0,1045,615.220689
-192.0,541,618.040541
-183.0,676,620.195635
-181.0,687,622.388232
-172.0,729,625.960509
-162.0,855,628.860757
-234.0,531,630.442991
-226.0,541,632.061666
-194.0,541,634.869853
-169.0,1200,639.477177
-189.0,677,642.816231
-217.0,676,644.941359
-192.0,541,646.550868
-225.0,541,649.373111
-228.0,542,651.004849
-136.0,1415,656.808649
-225.0,541,659.624205
-190.0,541,661.238027
-229.0,530,662.812852
-163.0,844,666.861203
-193.0,541,668.476365
-184.0,730,670.823348
-177.0,846,674.865314
-181.0,687,677.04989
-199.0,542,678.671261
-191.0,541,681.51892
-174.0,698,683.759952
-196.0,530,685.342876
-187.0,677,688.692605
-230.0,530,690.267882
-118.0,1412,696.061553
-179.0,687,699.436317
-187.0,677,701.573287
-186.0,700,703.80183
-231.0,542,706.610446
-174.0,741,709.011271
-183.0,676,711.149111
-169.0,856,715.246228
-182.0,676,717.380889
-184.0,687,720.869582
-181.0,687,723.047599
-192.0,678,725.193957
-199.0,679,728.542768
-182.0,687,730.72865
-191.0,677,732.864114
-168.0,855,736.97825
-96.0,1602,743.933053
-102.0,1613,752.213261
-142.0,1416,759.25482
-186.0,677,761.388486
-192.0,541,763.005063
-142.0,1416,809.473231
-229.0,530,814.518142
-185.0,687,817.89776
-167.0,844,820.757465
-184.0,688,822.945677
-185.0,676,826.321535
-142.0,1415,832.600367
-194.0,541,835.472444
-180.0,698,837.707341
-168.0,740,840.099532
-230.0,530,842.869079
-182.0,687,845.046007
-182.0,699,847.276728
-148.0,1203,853.108317
-177.0,687,855.298449
-180.0,698,858.739744
-183.0,676,860.902757
-176.0,687,863.096403
-192.0,541,865.913011
-225.0,541,867.535927
-194.0,541,869.155917
-119.0,1412,876.199631
-123.0,1412,883.212823
-139.0,1202,887.843297
-167.0,856,892.487817
-245.0,533,894.209757
-189.0,688,896.435459
-167.0,698,898.66293
